"observation","site_no","dateTime","water discharge","nitrite+nitrate","latitude","longitude","altitude"
"14133","04190000",2021-08-12,173,1.77,41.0414393,-84.2268905,687.09
"14134","04190000",2021-08-12,173,1.77,41.0414393,-84.2268905,687.09
"14135","04190000",2021-08-13,337,1.95,41.0414393,-84.2268905,687.09
"14136","04190000",2021-08-13,337,1.95,41.0414393,-84.2268905,687.09
"14137","04190000",2021-08-14,251,1.66,41.0414393,-84.2268905,687.09
"14138","04190000",2021-08-14,251,1.66,41.0414393,-84.2268905,687.09
"14139","04190000",2021-08-15,146,1.38,41.0414393,-84.2268905,687.09
"14140","04190000",2021-08-15,146,1.38,41.0414393,-84.2268905,687.09
"14141","04190000",2021-08-16,96.8,1.18,41.0414393,-84.2268905,687.09
"14142","04190000",2021-08-16,96.8,1.18,41.0414393,-84.2268905,687.09
"14143","04190000",2021-08-17,78.3,1.04,41.0414393,-84.2268905,687.09
"14144","04190000",2021-08-17,78.3,1.04,41.0414393,-84.2268905,687.09
"14145","04190000",2021-08-18,71.8,0.962,41.0414393,-84.2268905,687.09
"14146","04190000",2021-08-18,71.8,0.962,41.0414393,-84.2268905,687.09
"14147","04190000",2021-08-19,62.8,0.912,41.0414393,-84.2268905,687.09
"14148","04190000",2021-08-19,62.8,0.912,41.0414393,-84.2268905,687.09
"14149","04190000",2021-08-20,53.9,0.883,41.0414393,-84.2268905,687.09
"14150","04190000",2021-08-20,53.9,0.883,41.0414393,-84.2268905,687.09
"14151","04190000",2021-08-21,56.3,1.19,41.0414393,-84.2268905,687.09
"14152","04190000",2021-08-21,56.3,1.19,41.0414393,-84.2268905,687.09
"14153","04190000",2021-08-22,57.9,1.46,41.0414393,-84.2268905,687.09
"14154","04190000",2021-08-22,57.9,1.46,41.0414393,-84.2268905,687.09
"14155","04190000",2021-08-23,47.9,1.27,41.0414393,-84.2268905,687.09
"14156","04190000",2021-08-23,47.9,1.27,41.0414393,-84.2268905,687.09
"14157","04190000",2021-08-24,40.5,1.1,41.0414393,-84.2268905,687.09
"14158","04190000",2021-08-24,40.5,1.1,41.0414393,-84.2268905,687.09
"14159","04190000",2021-08-25,50.4,1.27,41.0414393,-84.2268905,687.09
"14160","04190000",2021-08-25,50.4,1.27,41.0414393,-84.2268905,687.09
"14161","04190000",2021-08-26,80.7,2.31,41.0414393,-84.2268905,687.09
"14162","04190000",2021-08-26,80.7,2.31,41.0414393,-84.2268905,687.09
"14163","04190000",2021-08-27,80.8,2.14,41.0414393,-84.2268905,687.09
"14164","04190000",2021-08-27,80.8,2.14,41.0414393,-84.2268905,687.09
"14165","04190000",2021-08-28,66.4,1.97,41.0414393,-84.2268905,687.09
"14166","04190000",2021-08-28,66.4,1.97,41.0414393,-84.2268905,687.09
"14167","04190000",2021-08-29,49,1.82,41.0414393,-84.2268905,687.09
"14168","04190000",2021-08-29,49,1.82,41.0414393,-84.2268905,687.09
"14169","04190000",2021-08-30,46.2,1.68,41.0414393,-84.2268905,687.09
"14170","04190000",2021-08-30,46.2,1.68,41.0414393,-84.2268905,687.09
"14171","04190000",2021-08-31,43.5,1.62,41.0414393,-84.2268905,687.09
"14172","04190000",2021-08-31,43.5,1.62,41.0414393,-84.2268905,687.09
"14173","04190000",2021-09-01,60.9,1.95,41.0414393,-84.2268905,687.09
"14174","04190000",2021-09-01,60.9,1.95,41.0414393,-84.2268905,687.09
"14175","04190000",2021-09-02,56.7,1.87,41.0414393,-84.2268905,687.09
"14176","04190000",2021-09-02,56.7,1.87,41.0414393,-84.2268905,687.09
"14177","04190000",2021-09-03,47.9,1.71,41.0414393,-84.2268905,687.09
"14178","04190000",2021-09-03,47.9,1.71,41.0414393,-84.2268905,687.09
"14179","04190000",2021-09-04,38.4,1.57,41.0414393,-84.2268905,687.09
"14180","04190000",2021-09-04,38.4,1.57,41.0414393,-84.2268905,687.09
"14181","04190000",2021-09-05,30.2,1.46,41.0414393,-84.2268905,687.09
"14182","04190000",2021-09-05,30.2,1.46,41.0414393,-84.2268905,687.09
"14183","04190000",2021-09-06,28.9,1.4,41.0414393,-84.2268905,687.09
"14184","04190000",2021-09-06,28.9,1.4,41.0414393,-84.2268905,687.09
"14185","04190000",2021-09-07,42.8,1.65,41.0414393,-84.2268905,687.09
"14186","04190000",2021-09-07,42.8,1.65,41.0414393,-84.2268905,687.09
"14187","04190000",2021-09-08,51.7,1.98,41.0414393,-84.2268905,687.09
"14188","04190000",2021-09-08,51.7,1.98,41.0414393,-84.2268905,687.09
"14189","04190000",2021-09-09,39.3,1.83,41.0414393,-84.2268905,687.09
"14190","04190000",2021-09-09,39.3,1.83,41.0414393,-84.2268905,687.09
"14191","04190000",2021-09-10,34.6,1.71,41.0414393,-84.2268905,687.09
"14192","04190000",2021-09-10,34.6,1.71,41.0414393,-84.2268905,687.09
"14193","04190000",2021-09-11,29.4,1.62,41.0414393,-84.2268905,687.09
"14194","04190000",2021-09-11,29.4,1.62,41.0414393,-84.2268905,687.09
"14195","04190000",2021-09-12,27.1,1.58,41.0414393,-84.2268905,687.09
"14196","04190000",2021-09-12,27.1,1.58,41.0414393,-84.2268905,687.09
"14197","04190000",2021-09-13,19.8,1.48,41.0414393,-84.2268905,687.09
"14198","04190000",2021-09-13,19.8,1.48,41.0414393,-84.2268905,687.09
"14199","04190000",2021-09-14,13.4,1.33,41.0414393,-84.2268905,687.09
"14200","04190000",2021-09-14,13.4,1.33,41.0414393,-84.2268905,687.09
"14201","04190000",2021-09-15,12.4,1.3,41.0414393,-84.2268905,687.09
"14202","04190000",2021-09-15,12.4,1.3,41.0414393,-84.2268905,687.09
"14203","04190000",2021-09-16,17.5,1.53,41.0414393,-84.2268905,687.09
"14204","04190000",2021-09-16,17.5,1.53,41.0414393,-84.2268905,687.09
